month,all_projects,learn_projects,rate
2011/1/1,29767,288,0.009675144
2011/2/1,32343,284,0.00878088
2011/3/1,36847,332,0.009010231
2011/4/1,37750,348,0.009218543
2011/5/1,40057,376,0.009386624
2011/6/1,42666,383,0.008976703
2011/7/1,43119,394,0.009137503
2011/8/1,33859,262,0.007737972
2011/9/1,22973,140,0.00609411
2011/10/1,23315,146,0.006262063
2011/11/1,26399,150,0.005682033
2011/12/1,28702,189,0.006584907
2012/1/1,43766,313,0.00715167
2012/2/1,44033,335,0.00760793
2012/3/1,49593,314,0.006331539
2012/4/1,47417,305,0.006432292
2012/5/1,50556,317,0.006270275
2012/6/1,54084,358,0.006619333
2012/7/1,94543,482,0.005098209
2012/8/1,125161,653,0.00521728
2012/9/1,139414,638,0.004576298
2012/10/1,77008,464,0.006025348
2012/11/1,92495,539,0.005827342
2012/12/1,77903,468,0.006007471
2013/1/1,123191,895,0.007265141
2013/2/1,154838,1068,0.006897532
2013/3/1,164097,1123,0.006843513
2013/4/1,125833,843,0.006699355
2013/5/1,180486,1311,0.007263721
2013/6/1,163440,1329,0.008131424
2013/7/1,181233,1621,0.008944287
2013/8/1,179202,1665,0.009291191
2013/9/1,178321,1564,0.0087707
2013/10/1,223983,2017,0.009005148
2013/11/1,230614,2003,0.008685509
2013/12/1,203961,2078,0.010188222
2014/1/1,243801,2226,0.009130397
2014/2/1,244040,2299,0.009420587
2014/3/1,292168,2681,0.009176227
2014/4/1,278584,2729,0.009795968
2014/5/1,231324,2346,0.01014162
2014/6/1,272797,2974,0.010901879
2014/7/1,305305,3514,0.011509802
2014/8/1,282132,3433,0.012168063
2014/9/1,253346,3013,0.011892826
2014/10/1,354779,4021,0.011333816
2014/11/1,415020,5635,0.013577659
2014/12/1,454859,5605,0.0123225
2015/1/1,643939,7839,0.012173513
2015/2/1,603949,7326,0.012130163
2015/3/1,719914,9434,0.013104343
2015/4/1,703406,9451,0.013436053
2015/5/1,678999,9546,0.014058931
2015/6/1,663265,9865,0.014873391
2015/7/1,490001,8670,0.017693841
2015/8/1,641351,10695,0.016675736
2015/9/1,684305,11428,0.016700156
2015/10/1,769046,11687,0.01519675
2015/11/1,747883,11891,0.015899546
2015/12/1,769005,12955,0.016846444
2016/1/1,898640,15332,0.017061337
2016/2/1,977632,18068,0.018481392
2016/3/1,1128107,22948,0.020342042
2016/4/1,1036085,20867,0.020140239
2016/5/1,1271999,21452,0.016864793
2016/6/1,1016542,18891,0.01858359
2016/7/1,935950,13253,0.014159944
2016/8/1,1106220,14965,0.01352805
2016/9/1,1271406,16458,0.012944724
2016/10/1,1281804,16586,0.012939576
2016/11/1,1335341,16632,0.012455246
2016/12/1,959561,14196,0.014794265
2017/1/1,1298622,17475,0.013456572
2017/2/1,1257614,18130,0.014416188
2017/3/1,1573997,22560,0.014332937
2017/4/1,1440875,19368,0.013441832